,lat,lon,Elevation,co_ppb,no2_ppb,o3_ppb,pm10_ug/m3,pm25_ug/m3,so2_ppb,AQI-IN_IN-AQI,aqi_US-AQI,t_C,p_mb,dew_C,h_%,w_km/h,wd_
237,12.88925,74.853,69.0,919,2,17,677,418,3,708,446,32,1001,24,63,15,294
238,11.9309,79.8027,10.0,428,1,10,27,7,1,27,29,33,1008,24,61,16,95
239,28.856664,78.772638,196.0,489,7,13,88,11,11,88,67,36,984,4,13,7,277
240,27.19412,77.96237,169.0,218,22,5,58,12,3,58,52,36,988,8,17,3,212
241,18.96702,72.84214,22.0,314,121,25,75,38,1,75,107,30,1005,21,59,4,286
242,27.571409,77.655757,178.0,690,1,15,52,14,13,52,55,36,986,9,18,3,139
243,34.066206,74.81982,1581.0,214,3,59,39,20,1,59,68,20,843,9,48,4,323
244,19.1599,72.9239,0.0,360,1,9,68,31,5,68,91,30,1000,21,58,22,287
245,14.4758,75.9052,592.0,671,11,27,73,32,3,73,93,35,941,17,35,17,248
246,25.0328,85.41948,71.0,744,9,18,54,29,1,54,87,35,998,11,22,6,267
247,26.730136,83.433859,83.0,245,1,28,69,49,11,82,134,36,996,21,41,5,272
248,15.411456,75.638133,676.0,795,5,35,41,19,4,41,66,28,932,21,64,2,257
249,28.83526,78.7446,198.0,358,10,20,54,18,2,54,63,35,984,4,13,6,279
250,26.1403345,85.3650192,56.0,974,3,29,73,51,6,85,139,34,1000,10,22,7,262
251,10.5324,76.2159,12.0,236,3,16,68,30,3,68,89,31,1006,25,71,11,269
252,16.208139,77.348417,403.0,378,12,11,61,32,13,61,93,36,962,16,30,10,119
253,25.301778,82.996789,83.0,323,3,24,23,3,9,24,22,35,997,13,27,5,271
254,13.008556,76.125258,967.0,650,27,20,54,21,1,54,70,28,903,18,54,15,265
255,25.555605,83.950942,70.0,475,4,26,73,19,6,73,66,36,998,8,17,8,253
256,26.90723,80.98579,125.0,341,3,22,122,55,8,115,149,33,992,12,27,7,251
257,13.0664,80.2112,10.0,1464,28,3,48,15,2,48,57,32,1008,26,69,19,90
258,15.34763,76.181767,542.0,2109,24,32,33,18,9,33,63,35,946,16,31,7,127
259,26.511739,80.235136,134.0,734,6,34,74,40,7,74,112,36,991,7,16,5,257
260,13.94,75.555917,589.0,245,6,44,77,32,1,77,93,25,942,23,87,11,256
261,26.15146,85.89342,58.0,426,8,12,92,58,3,96,152,33,1000,12,27,6,259
262,19.11074,72.86084,19.0,157,26,9,63,21,8,63,70,30,1006,21,58,22,287
263,22.977134,72.553024,43.0,26,8,15,101,57,3,101,152,36,1001,12,23,18,193
264,23.163798,72.677768,62.0,0,0,25,71,31,0,71,91,36,998,12,23,16,199
265,30.735567,76.775714,346.0,603,17,61,76,30,3,76,89,35,968,3,13,10,303
266,18.897756,72.81332,7.0,26,5,17,56,25,2,56,78,30,1007,21,59,4,288
267,19.053536,72.84643,4.0,151,38,23,121,39,2,114,110,30,1008,21,58,22,287
268,23.243639,72.68994,78.0,458,14,31,59,28,4,59,84,36,997,12,23,14,200
269,23.04307,72.562968,52.0,725,17,8,107,46,0,104,127,36,999,12,23,19,195
270,23.107969,72.574648,60.0,269,0,36,65,36,5,65,102,36,999,12,23,19,197
271,19.2307,72.8567,0.0,843,38,20,82,28,3,82,84,30,1006,21,58,16,284
272,19.04946,72.923,5.0,728,17,13,85,25,2,85,78,30,1007,21,58,22,287
273,19.044,73.0325,43.0,0,11,37,88,44,3,88,122,30,1005,21,58,15,278
274,19.175,72.9419,27.0,637,9,4,87,25,4,87,78,30,1005,21,58,16,280
275,23.023389,72.515201,67.0,655,7,12,100,68,1,126,157,36,998,12,23,17,193
276,23.076793,72.627874,53.0,11,8,18,111,22,8,107,78,36,999,12,23,19,200
277,19.19709,72.82204,7.0,178,7,15,37,13,3,37,53,31,1007,24,65,7,285
278,19.000083,72.813993,28.0,349,3,11,110,110,3,266,179,30,1006,21,58,19,287
279,19.2058,72.8682,17.0,463,13,15,102,26,2,101,80,30,1006,21,58,20,284
280,23.016834,72.625775,51.0,921,3,37,81,36,5,81,102,36,1000,12,23,19,197
281,25.32393,82.99687,81.0,183,0,7,20,10,8,20,42,35,997,13,27,5,252
282,25.425602,81.917152,99.0,148,2,16,64,14,9,64,55,36,996,8,17,1,290
283,25.204762,85.51496,60.0,978,4,3,56,23,4,56,74,36,1000,11,22,7,243
284,13.1036,80.2909,9.0,415,3,5,28,11,0,28,46,32,1008,26,69,6,90
285,27.169338,78.03582,175.0,306,11,2,98,27,12,98,82,36,987,8,17,5,212
286,28.88528,78.7388,200.0,445,8,15,59,19,9,59,66,36,984,4,13,7,279
287,13.1278,80.2642,5.0,533,3,3,44,9,1,44,41,32,1009,26,69,6,91
288,27.19862,77.92066,171.0,201,21,8,111,29,4,107,87,36,987,8,17,3,189
289,25.44919916,81.82735986,103.0,218,2,6,36,18,12,36,63,36,995,8,17,1,235
290,25.262326,82.995408,88.0,85,1,0,23,3,5,23,21,35,996,13,27,5,271
291,26.509954,80.249612,134.0,734,6,34,74,40,7,74,112,36,991,7,17,5,257
292,27.23711,78.01936,160.0,218,12,37,42,34,5,57,97,36,988,8,17,3,212
293,12.9533,80.2357,5.0,201,2,3,40,11,1,40,46,32,1009,26,70,19,92
