,lat,lon,Elevation,co_ppb,no2_ppb,o3_ppb,pm10_ug/m3,pm25_ug/m3,so2_ppb,AQI-IN_IN-AQI,aqi_US-AQI,t_C,p_mb,dew_C,h_%,w_km/h,wd_
82,28.6821516,77.3026128,209.0,224,17,9,164,71,5,142,159,37,983,18,31,3,249
83,19.1494,72.9986,7.0,1447,54,23,118,45,7,112,124,31,1007,20,53,16,280
84,20.9360711,85.1707021,106.0,1249,8,7,97,51,58,97,139,30,996,18,47,3,241
85,18.642103,73.849083,608.0,445,38,44,92,17,3,92,69,34,941,14,30,19,278
86,28.422681,77.148944,254.0,388,35,21,182,83,1,177,165,36,978,4,13,1,95
87,21.613267,73.010555,24.0,882,14,19,69,36,3,69,102,36,1004,12,23,18,240
88,11.55358,76.55521,889.0,485,12,19,65,31,2,65,91,27,911,19,62,6,187
89,18.9936162,72.8128113,9.0,467,6,5,46,10,3,46,42,30,1008,21,59,19,286
90,22.969611,72.6435,48.0,672,15,22,71,27,4,71,82,36,1000,12,24,11,198
91,17.6599188,75.9063906,473.0,463,23,47,141,44,37,127,122,33,954,27,71,4,156
92,26.210536,78.171,214.0,720,2,25,0,22,0,36,72,34,982,19,41,0,180
93,24.762518,84.982348,126.0,299,8,12,38,22,2,38,72,34,992,13,29,8,291
94,24.10897,82.64558,301.0,1153,7,32,74,29,11,74,87,34,974,11,24,9,213
95,20.362421,72.918013,23.0,0,3,1,58,18,16,58,63,31,1005,21,54,14,262
96,23.233584,77.400574,539.0,210,4,49,102,30,6,101,89,31,948,15,37,14,175
97,12.733409,77.298051,707.0,218,1,15,26,25,8,42,78,33,930,12,28,16,118
98,11.249077,75.784371,12.0,498,23,18,110,52,1,106,142,34,1006,26,61,4,292
99,16.802639,75.722694,625.0,2860,4,8,21,9,0,21,38,25,938,20,73,19,137
100,22.49929,88.36917,8.0,365,2,6,80,54,6,90,147,33,1007,20,48,2,235
101,11.875,75.3732,20.0,1305,25,19,134,42,1,123,117,33,1006,25,61,7,282
102,30.349388,76.366642,253.0,332,11,37,66,26,2,66,80,36,977,15,29,0,360
103,16.172806,75.659694,545.0,832,4,15,50,24,3,50,76,34,946,16,33,10,191
104,11.258244,77.552429,307.0,658,17,3,120,48,11,113,132,33,973,19,45,17,104
105,28.733016,77.17197,211.0,665,41,37,159,55,8,139,149,31,983,12,31,3,240
106,20.0073285,73.7762427,582.0,1196,5,30,132,58,1,121,152,36,942,6,16,4,259
107,18.459869,73.852306,660.0,1306,9,2,95,45,11,95,124,36,935,14,27,6,278
108,17.540891,78.358528,589.0,201,7,18,54,22,6,54,72,33,943,18,42,10,136
109,17.320057,76.820889,462.0,747,16,27,31,17,4,31,61,36,956,18,33,4,160
110,29.06351,77.709723,231.0,506,9,49,62,20,5,62,68,35,980,14,28,4,296
111,13.672986,79.351217,919.0,734,10,26,58,31,5,58,91,29,909,18,49,17,106
112,25.592539,85.227158,59.0,631,9,8,242,59,3,195,153,34,1000,20,45,7,274
113,25.586562,85.043586,58.0,738,4,18,120,71,2,136,159,34,999,20,45,8,277
114,22.55664,88.342674,14.0,348,9,53,115,52,6,110,142,33,1007,20,48,2,235
115,28.3419248,77.319699,203.0,297,6,11,106,68,0,126,157,36,983,7,16,0,232
116,28.820629,77.101099,213.0,629,7,81,175,50,7,150,137,35,982,4,15,4,240
117,8.5140567,76.9477422,22.0,384,4,6,30,14,3,30,55,27,1006,26,93,0,180
118,28.557054,77.453663,216.0,256,17,68,134,43,7,123,119,35,982,7,17,5,229
119,8.5637,76.8865,45.0,506,4,15,84,48,1,84,132,27,1004,26,93,5,235
120,28.56923,77.393848,199.0,1223,9,72,115,37,9,110,105,37,984,18,31,5,244
121,28.572714,76.933433,212.0,647,7,103,124,39,4,116,195,31,982,12,31,2,100
122,19.041847,72.865513,11.0,137,34,15,138,26,9,125,92,31,1007,20,53,26,287
123,13.029152,77.585901,918.0,227,41,8,55,22,2,55,72,33,908,14,32,4,106
124,19.047,72.8746,6.0,120,4,14,84,16,10,84,65,31,1007,20,53,26,287
125,28.6701,76.9254,215.0,893,16,23,102,17,2,101,74,31,982,12,31,2,109
126,28.593883,76.270653,213.0,498,10,8,102,61,5,105,154,36,981,5,15,5,139
127,18.661667,73.762331,620.0,695,31,42,90,36,1,90,102,36,939,14,27,20,278
128,28.47272,77.482,193.0,492,25,52,153,57,6,135,152,36,984,7,17,4,231
129,22.9682591,76.064118,557.0,277,5,32,45,22,8,45,72,30,945,17,44,10,170
130,28.620171,77.287705,206.0,817,38,83,198,55,3,165,149,37,983,18,31,0,180
131,19.1375,72.915056,60.0,629,11,29,124,17,14,116,85,31,1002,20,53,26,287
132,26.85272778,80.99632778,120.0,720,30,19,158,88,6,195,168,33,993,13,29,7,249
133,28.5898,77.3101,206.0,437,23,93,128,35,6,119,169,37,984,18,31,3,253
134,28.710066,77.24622,207.0,8,7,70,129,46,5,120,127,37,983,18,31,5,239
135,28.4275,77.1465,257.0,384,17,21,166,73,1,144,160,36,978,4,13,1,95
136,28.815691,77.152491,213.0,786,6,81,114,40,6,109,136,35,982,4,15,4,240
137,12.91281111,77.60921944,912.0,438,20,10,54,31,2,54,91,32,909,16,39,17,102
138,18.91,72.82,10.0,212,8,6,60,17,3,60,61,30,1007,21,59,4,288
139,28.661975,77.124156,216.0,939,59,30,147,75,11,150,161,31,982,12,30,7,199
140,28.4417,77.3217,202.0,1039,13,5,164,57,4,142,152,37,983,18,31,4,215
141,22.9987886,72.6029661,52.0,529,32,38,131,63,11,121,155,36,999,12,24,19,197
142,18.577864,73.908086,583.0,1009,6,15,52,22,15,52,72,34,942,13,28,17,276
143,19.1135051,73.008978,7.0,2161,36,32,108,40,7,105,112,31,1007,20,53,16,280
144,22.572646,88.363895,16.0,360,16,43,140,74,5,146,161,33,1007,20,48,2,227
145,26.86812,81.005119,118.0,742,5,20,130,81,7,170,164,33,993,13,29,7,249
146,28.528344,77.189304,241.0,283,44,35,138,46,8,125,127,37,979,18,31,8,201
147,13.08784,80.27847,13.0,452,35,5,63,18,1,63,63,32,1008,26,69,6,90
148,28.6542593,77.3549349,206.0,541,43,31,123,45,3,115,124,37,983,18,31,5,242
149,28.5447608,77.3231257,197.0,533,28,73,85,26,3,85,108,37,984,18,31,4,216
150,19.2243333,72.8658113,26.0,437,3,7,78,11,2,78,62,31,1006,20,53,16,284
151,19.0863,72.8888,18.0,96,7,15,133,33,10,122,95,31,1006,20,53,26,287
152,22.51106,88.35142,11.0,385,10,16,79,35,9,79,99,33,1007,20,48,2,235
153,12.9773472,77.570697222222,906.0,232,43,10,90,46,1,90,127,33,909,14,32,17,106
154,28.499727,77.267095,260.0,562,20,84,125,41,8,117,147,37,977,18,31,2,201
155,29.6953,77.0027,251.0,541,5,18,82,47,4,82,129,35,978,5,16,5,248
156,28.732743,77.118788,211.0,402,7,90,117,31,5,111,161,31,982,12,31,3,231
157,28.700505,77.165603,217.0,0,15,62,128,45,5,119,124,31,982,12,31,3,231
158,13.0339,77.51321111,914.0,482,39,26,71,34,2,71,97,33,908,14,32,7,108
159,19.3832,72.8204,5.0,1257,11,23,52,11,5,52,47,29,1008,21,65,17,281
160,10.073232,76.302765,12.0,1546,2,7,29,14,2,29,55,33,1006,27,70,7,280
161,12.938539,77.5901,919.0,0,6,1,31,12,1,31,50,33,908,14,32,15,106
162,26.9164092,75.8016788,436.0,468,42,48,78,57,9,96,152,35,959,9,21,9,177
163,12.93890556,77.69727222,882.0,424,40,21,73,36,2,73,102,34,912,18,39,15,102
164,28.582846,77.234366,213.0,637,28,84,85,24,5,85,147,37,982,18,31,0,180
165,28.69572,77.181295,222.0,288,9,16,244,41,10,196,145,37,982,18,31,3,240
166,29.0002662,76.9997466,223.0,342,42,27,164,48,9,143,132,35,981,3,13,2,227
167,28.974801,77.213357,218.0,862,8,50,91,26,8,91,80,35,982,3,13,3,315
